Status,Post Title,Post Language,Post Slug,Broken URL,Action Taken,New URL
"Needs manual review","10 Dinge, die man im schönen Ericeira gesehen haben muss: ein Top-Surfziel in Portugal","de","10-dinge-die-man-im-schonen-ericeira-gesehen-haben-muss-ein-top-surfziel-in-portugal","https://www.rapturecamps.com/de/blog/is-our-surf-camp- near-lisbon-right-for-you/","No auto-fix available",""
"Needs manual review","10 Dinge, die man im schönen Ericeira gesehen haben muss: ein Top-Surfziel in Portugal","de","10-dinge-die-man-im-schonen-ericeira-gesehen-haben-muss-ein-top-surfziel-in-portugal","/blog/6-types-of-guests-you- kannst-dich-mit-einem-treffen-in-unserem-surfcamp-portugal/","No auto-fix available",""
"Needs manual review","29 Reasons Why Everyone Loves Surfing","en","why-is-surfing-popular","/bali-surfcamp/surf-lessons","No auto-fix available",""
"Needs manual review","47 Surfing Terms To Speak Surf Like a Pro","en","speak-like-a-surfer","/bali-surfcamp/uluwatu","No auto-fix available",""
"Needs manual review","5 der besten Anfänger Surfstrände in Costa Rica","de","5-der-besten-surf-anfangerstrande-in-costa-rica","https://www.rapturecamps.com/de/blog/learn-to-surf-in-costa-rica-9-epic-reasons-why-you-should-go-right-now/","No auto-fix available",""
"Needs manual review","5 der besten Anfänger Surfstrände in Costa Rica","de","5-der-besten-surf-anfangerstrande-in-costa-rica","https://www.rapturecamps.com/de/blog/sollte-ich-ein-surfcamp-oder-eine-surfschule-buchen/","No auto-fix available",""
"Needs manual review","5 der besten Anfänger Surfstrände in Costa Rica","de","5-der-besten-surf-anfangerstrande-in-costa-rica","https://www.rapturecamps.com/de/blog/booking-a-surf-camp-heres-what-to-look-for-when-making-your -Entscheidung/","No auto-fix available",""
"Needs manual review","7 der verrücktesten Wellen der Welt und wo du sie findest","de","7-der-verrucktesten-wellen-der-welt-und-wo-du-sie-findest","https://www.rapturecamps.com/de/blog/top-5-surf-spots-in-playa-avellanas-costa-rica/","No auto-fix available",""
"Needs manual review","7 Reasons why booking a surf camp will be the best thing you ever do","en","book-surf-camp","/nicaragua-surfresort/surfing-nicaragua","No auto-fix available",""
"Needs manual review","7 Tips um auch ohne Surfen fit zu bleiben","de","7-tips-um-auch-ohne-surfen-fit-zu-bleiben","https://www.rapturecamps.com/de/blog/surfen-lernen-in-costa-rica-9-unschlagbare-grunde-warum-genau-jetzt/","No auto-fix available",""
"Needs manual review","7 Tips um auch ohne Surfen fit zu bleiben","de","7-tips-um-auch-ohne-surfen-fit-zu-bleiben","https://www.rapturecamps.com/de/blog/surfen-lernen-auf-bali-so-vermeidest-du-die-massen-bekommst-mehr-wellen/","No auto-fix available",""
"Needs manual review","8 Gründe warum Bali eine der besten Surf-Destinationen der Welt ist","de","8-grunde-warum-bali-eine-der-besten-surf-destinationen-der-welt-ist","https://www.rapturecamps.com/de/blog/keeping-it-real-in-bali/","No auto-fix available",""
"Needs manual review","9 Tips für die Planung deines Costa Rica Traum-Urlaubs","de","9-tips-fur-die-planung-deines-costa-rica-traumurlaubs","https://www.rapturecamps.com/de/blog/surfen-lernen-in-costa-rica-9-unschlagbare-grunde-warum-genau-jetzt/","No auto-fix available",""
"Needs manual review","Alles was du über unser Surfcamp in Costa Rica wissen musst","de","alles-was-du-uber-unser-camp-in-costa-rica-wissen-musst","https://www.rapturecamps.com/de/blog/packliste-fuer-eine-reise-nach-costarica-nicaragua/","No auto-fix available",""
"Needs manual review","Alles was du über unser Surfcamp in Costa Rica wissen musst","de","alles-was-du-uber-unser-camp-in-costa-rica-wissen-musst","https://www.rapturecamps.com/de/blog/surfkurse-costa-rica/","No auto-fix available",""
"Needs manual review","Alles was du über unser Surfcamp in Costa Rica wissen musst","de","alles-was-du-uber-unser-camp-in-costa-rica-wissen-musst","https://www.rapturecamps.com/de/blog/surfen-lernen-in-costa-rica-9-unschlagbare-grunde-warum-genau-jetzt/","No auto-fix available",""
"Needs manual review","Der ultimative Leitfaden zum Surfen in Portugal – Rapture Surfcamps","de","der-ultimative-leitfaden-zum-surfen-in-portugal-rapture-surfcamps","https://www.rapturecamps.com/de/blog/portugal-makes-waves-liga -meo-pro-surf-and-another-big-wave-record/","No auto-fix available",""
"Needs manual review","Die 5 besten Orte, um Surfen zu lernen","de","die-5-besten-orte-um-surfen-zu-lernen-rapture-surfcamps","https://www.rapturecamps.com/de/surfcamp/portugal/ericeira/","No auto-fix available",""
"Needs manual review","Die 7 besten Surfspots Portugals","de","die-7-besten-surfspots-portugals","https://www.rapturecamps.com/de/blog/surfkurse-in-ericeira-portugal/","No auto-fix available",""
"Needs manual review","Die 7 besten Surfspots Portugals","de","die-7-besten-surfspots-portugals","https://www.rapturecamps.com/de/surfcamp/portugal/ericeira/","No auto-fix available",""
"Needs manual review","Die Top 10 Aktivitäten in Playa Avellanas, Costa Rica","de","die-top-10-aktivitaeten-in-costa-rica-playa-avellanas","https://www.rapturecamps.com/de/blog/entdecke-tamarindo-costa-rica/","No auto-fix available",""
"Needs manual review","Die Top 10 Aktivitäten in Playa Avellanas, Costa Rica","de","die-top-10-aktivitaeten-in-costa-rica-playa-avellanas","https://www.rapturecamps.com/de/blog/entdecke-tamarindo-costa-rica/","No auto-fix available",""
"Needs manual review","Ein Surftrip in die Tropen? Das musst du einpacken!","de","du-planst-einen-surftrip-in-die-tropen-10-dinge-die-du-einpacken-musst","https://www.rapturecamps.com/de/blog/reisen-mit-einem-surfbrett-leicht-in-6-einfachen-schritten/","No auto-fix available",""
"Needs manual review","Ein Surftrip in die Tropen? Das musst du einpacken!","de","du-planst-einen-surftrip-in-die-tropen-10-dinge-die-du-einpacken-musst","https://www.rapturecamps.com/de/top-5-surf-spots-playa-avellanas-costa","No auto-fix available",""
"Needs manual review","Ein Surftrip in die Tropen? Das musst du einpacken!","de","du-planst-einen-surftrip-in-die-tropen-10-dinge-die-du-einpacken-musst","https://www.rapturecamps.com/de/packing-list-costa-rica-nicaragua/","No auto-fix available",""
"Needs manual review","Join the Best Surf School in Nicaragua – Rapture Surfcamps","en","surf-school-nicaragua","/surf-lessons-nicaragua-learn-to-surf-in-paradise-rapture-surfcamps","No auto-fix available",""
"Needs manual review","Nicaragua – Surfparadies mit tropischen Stränden","de","surfing-nicaragua","https://www.rapturecamps.com/de/blog/surf-playa-maderas-nicaragua/","No auto-fix available",""
"Needs manual review","Portugal Travel Guide 2024 – All You Need to Know Before you Plan a Trip","en","portugal-travel-guide-all-you-need-to-know-before-you-plan-a-trip","/blog/whens-the-best-time-to-surf-in-portugal/https://www.rapturecamps.com/blog/whens-the-best-time-to-surf-in-portugal","No auto-fix available",""
"Needs manual review","Surfen Ericeira","de","surfen-ericeira","https://www.rapturecamps.com/de/surfcamp/portugal/ericeira/","No auto-fix available",""
"Needs manual review","Surfen Ericeira","de","surfen-ericeira","https://www.rapturecamps.com/de/blog/surfkurse-in-ericeira-portugal/","No auto-fix available",""
"Needs manual review","Surfen Ericeira","de","surfen-ericeira","https://www.rapturecamps.com/de/surfcamp/portugal/ericeira/zimmer/","No auto-fix available",""
"Needs manual review","Surfen Ericeira","de","surfen-ericeira","https://www.rapturecamps.com/de/surfcamp/portugal/ericeira/","No auto-fix available",""
"Needs manual review","Surfen in Bali: Reisetips, Surfspots und versteckte Schätze","de","surfen-bali","https://www.rapturecamps.com/de/blog/surfen-lernen-auf-bali-so-vermeidest-du-die-massen-bekommst-mehr-wellen/","No auto-fix available",""
"Needs manual review","Surfen in Bali: Reisetips, Surfspots und versteckte Schätze","de","surfen-bali","https://www.rapturecamps.com/de/blog/surfen-lernen-auf-bali-so-vermeidest-du-die-massen-bekommst-mehr-wellen/","No auto-fix available",""
"Needs manual review","Surfen in Costa Rica: 9 unschlagbare Gründe warum genau jetzt","de","surfen-lernen-in-costa-rica-9-grunde","https://www.rapturecamps.com/de/ blog/10-dinge-to-do-playa-avellanas-costa-rica/","No auto-fix available",""
"Needs manual review","Surfen in Costa Rica: 9 unschlagbare Gründe warum genau jetzt","de","surfen-lernen-in-costa-rica-9-grunde","https://www.rapturecamps.com/de/blog/tips-for -surfen-in-costa-rica-mit-budget/","No auto-fix available",""
"Needs manual review","Surfen in Nicaragua während der Regenzeit","de","surfen-in-nicaragua-in-der-regenzeit","https://www.rapturecamps.com/de/blog/surfkurse-nicaragua/","No auto-fix available",""
"Needs manual review","Surfen in Portugal: ein kurzer Überlick über die Geschichte dahinter","de","surfen-in-portugal-ein-kurzer-uberlick-uber-die-geschichte-dahinter","https://www.rapturecamps.com/de/blog/ericeira-portugal-teil-des-ersten-internationalen-surf-netzwerks/","No auto-fix available",""
"Needs manual review","Surfen in Portugal: ein kurzer Überlick über die Geschichte dahinter","de","surfen-in-portugal-ein-kurzer-uberlick-uber-die-geschichte-dahinter","https://www.rapturecamps.com/de/blog/surfkurse-in-ericeira-portugal/","No auto-fix available",""
